logid,date,staffnumber,projectid,hours
3618918,2020-04-01,3535,25774,7.5
3618978,2020-04-01,5727,18201,7.5
3618979,2020-04-02,5727,18201,7.5
3618993,2020-04-01,5689,21537,2.5
3618995,2020-04-02,5689,15362,2
3618996,2020-04-02,5689,21537,5.5
3618997,2020-04-03,5689,21537,7.5
3619150,2020-04-03,5727,18201,7.5
3619151,2020-04-06,5727,18201,7.5
3619161,2020-04-06,5689,15362,2.5
3619162,2020-04-06,5689,21537,5
3619239,2020-04-01,3631,21537,7.5
3619240,2020-04-02,3631,21537,7.5
3619241,2020-04-03,3631,21537,7.5
3619242,2020-04-06,3631,21537,7.5
3619243,2020-04-07,3631,21537,7.5
3619244,2020-04-08,3631,21537,7.5
3619245,2020-04-09,3631,21537,7.5
3619248,2020-04-01,5722,18201,7.5
3619249,2020-04-02,5722,18201,7.5
3619250,2020-04-03,5722,18201,7.5
3619251,2020-04-06,5722,18201,7.5
3619252,2020-04-07,5722,18201,7.5
3619253,2020-04-08,5722,18201,7.5
3619254,2020-04-09,5722,18201,7.5
3619268,2020-04-02,3535,20448,7.5
3619269,2020-04-03,3535,20448,7.5
3619271,2020-04-06,3535,20448,7.5
3619272,2020-04-07,3535,20448,7.5
3619274,2020-04-08,3535,20448,7.5
3619276,2020-04-09,3535,20448,7.5
3619354,2020-04-07,5727,18201,7.5
3619653,2020-04-07,5689,21537,7.5
3619654,2020-04-08,5689,21537,7.5
3619655,2020-04-09,5689,21537,7.5
3629212,2020-05-21,5689,21537,7.5
3629214,2020-05-22,5689,15362,5
3629215,2020-05-22,5689,21537,2.5
3629231,2020-05-25,5727,18201,7.5
3629481,2020-05-26,5727,18201,7.5
3629487,2020-05-11,3631,21537,7.5
3629488,2020-05-12,3631,21537,7.5
3629489,2020-05-13,3631,21537,7.5
3629490,2020-05-14,3631,21537,7.5
3629491,2020-05-19,3631,21537,7.5
3629492,2020-05-20,3631,21537,7.5
3629493,2020-05-21,3631,21537,7.5
3629494,2020-05-22,3631,21537,7.5
3629495,2020-05-11,5722,18201,7.5
3629496,2020-05-12,5722,18201,7.5
3629497,2020-05-13,5722,18201,7.5
3629498,2020-05-14,5722,18201,7.5
3629499,2020-05-15,5722,18201,7.5
3629501,2020-05-19,5722,18201,7.5
3629502,2020-05-20,5722,18201,7.5
3629504,2020-05-21,5722,18201,7.5
3629505,2020-05-22,5722,18201,7.5
3629515,2020-05-25,5722,18201,7.5
3629516,2020-05-26,5722,18201,7.5
3629517,2020-05-27,5722,18201,7.5
3629518,2020-05-28,5722,18201,7.5
3629519,2020-05-29,5722,18201,7.5
3629520,2020-05-25,3631,21537,7.5
3629521,2020-05-26,3631,21537,7.5
3629522,2020-05-27,3631,21537,7.5
3629523,2020-05-28,3631,21537,7.5
3629524,2020-05-29,3631,21537,7.5
3629645,2020-05-11,3535,20448,7.5
3629646,2020-05-12,3535,20448,7.5
3629647,2020-05-13,3535,20448,7.5
3629648,2020-05-14,3535,20448,7.5
3629649,2020-05-15,3535,20448,7.5
3629650,2020-05-19,3535,20448,7.5
3629651,2020-05-20,3535,20448,7.5
3629652,2020-05-21,3535,20448,7.5
3629653,2020-05-22,3535,20448,7.5
3629700,2020-05-11,3636,19348,0.5
3629701,2020-05-13,3636,19348,5
3629702,2020-05-13,3636,19348,0.5
3629703,2020-05-12,3636,19348,0.5
3629704,2020-05-13,3636,26885,1
3629705,2020-05-14,3636,19348,5
3629706,2020-05-14,3636,19348,0.5
3629707,2020-05-14,3636,25767,0.5
3629708,2020-05-14,3636,25701,1.5
3629709,2020-05-15,3636,26835,1
3629710,2020-05-15,3636,26829,1.5
3629711,2020-05-15,3636,19348,1
3629712,2020-05-15,3636,19348,2
