scheduleid,staffnumber,projectid,days
31505,3636,15357,66.3
32800,5727,15362,132.6
32829,3636,15451,2.92
31588,5722,18201,211
31589,5727,18201,88.4
32824,3535,18285,10
27160,3636,18285,15
27075,3636,19348,154.7
31023,3636,20396,0.1
13154,3535,20448,221
16358,3631,21537,214
27068,5689,21537,221
27350,3631,21628,5
16861,3535,21635,10
27555,3636,21663,10
26613,3535,25709,6
31721,3636,25717,2
31534,3636,25742,1
27501,3636,25747,3
30767,3636,25748,3
32097,3631,25767,2.4
32098,3535,25767,9
27435,3535,25774,5
27438,3636,25774,2
27333,3636,25775,1
27316,3535,25776,2
27317,3636,25776,1
27328,3636,25779,3
27326,3535,25779,8
31428,3535,25780,2
31427,3636,25780,4
27364,3631,25782,14
31394,3636,25782,0.25
30859,3535,25784,21
30861,3636,25784,20
27480,3535,25794,7
31421,3636,25805,2
29664,3631,26818,9
30712,3631,26821,7
30781,3636,26826,0.25
30789,3636,26829,0.5
30992,3636,26832,1
30892,3636,26835,3
32080,3636,26836,3
32083,3535,26836,1
30923,3535,26846,2
30925,3636,26846,1
31056,3636,26865,1
31049,3631,26865,5
31340,3636,26885,1
32093,3636,26886,0.4
31464,3636,26895,1
31608,3535,26907,3
31673,3636,26912,8
32358,3636,26917,1
31779,3636,26922,0.53
31862,3636,26923,0.53
32241,3636,26926,2
31908,3636,26930,0.53
32049,3636,26941,0.5
32521,3535,26949,3
32523,3636,26949,2
32265,3535,26950,2
32266,3636,26950,1
32142,3636,26951,1.06
32134,3636,26952,1.06
32159,3636,26956,0.53
32164,3636,26957,0.53
32197,3636,26967,1.5
32200,3636,26969,0.27
32203,3636,26970,0.8
32214,3636,26971,1.07
32270,3535,26974,1
32271,3636,26974,1
32294,3636,26977,0.53
32300,3636,26978,0.8
32429,3631,26979,2
32361,3636,26987,1
32371,3636,26988,2
32416,3535,26989,15
32415,3636,26989,2
32395,3636,26995,4
32391,3535,26995,5
32412,3636,26999,0.53
32447,3636,27003,1.06
32456,3636,27004,0.53
32477,3636,27008,1
32640,3636,27010,0.53
32648,3636,27015,1.07
32560,3636,27016,0.53
32780,3636,27017,6
32785,3636,27022,1.06
32790,3636,27023,1.06
32613,5722,27024,2
32614,3631,27024,2
32686,3636,27028,1.07
32710,3636,27034,1.07
32717,3636,27035,1.06
32755,3636,27048,1.06
32761,3636,27049,1.06
32764,3636,27050,1.06
